year,month,day,hour,minute,btotal,bx,by,bz
2018,04,28,19,59,617.1,617.1,617.1,617.1
2018,04,28,20,00,616.9,616.9,616.9,616.9
2018,04,28,20,01,617.4,617.4,617.4,617.4
2018,04,28,20,02,617.9,617.9,617.9,617.9
2018,04,28,20,03,617.3,617.3,617.3,617.3
2018,04,28,20,04,618.5,618.5,618.5,618.5
2018,04,28,20,05,617.8,617.8,617.8,617.8
2018,04,28,20,06,619.3,619.3,619.3,619.3
2018,04,28,20,07,619.2,619.2,619.2,619.2
2018,04,28,20,08,617.1,617.1,617.1,617.1
2018,04,28,20,09,618.5,618.5,618.5,618.5
2018,04,28,20,10,619.4,619.4,619.4,619.4
2018,04,28,20,11,620.6,620.6,620.6,620.6
2018,04,28,20,12,619.5,619.5,619.5,619.5
2018,04,28,20,13,620.7,620.7,620.7,620.7
2018,04,28,20,14,607.0,607.0,607.0,607.0
2018,04,28,20,15,619.5,619.5,619.5,619.5
2018,04,28,20,16,621.2,621.2,621.2,621.2
2018,04,28,20,17,620.7,620.7,620.7,620.7
2018,04,28,20,18,621.2,621.2,621.2,621.2
2018,04,28,20,19,620.0,620.0,620.0,620.0
2018,04,28,20,20,621.1,621.1,621.1,621.1
2018,04,28,20,21,622.6,622.6,622.6,622.6
2018,04,28,20,22,621.4,621.4,621.4,621.4
2018,04,28,20,23,620.0,620.0,620.0,620.0
2018,04,28,20,24,621.8,621.8,621.8,621.8
2018,04,28,20,25,622.8,622.8,622.8,622.8
2018,04,28,20,26,622.2,622.2,622.2,622.2
2018,04,28,20,27,624.0,624.0,624.0,624.0
2018,04,28,20,28,623.2,623.2,623.2,623.2
2018,04,28,20,29,623.3,623.3,623.3,623.3
2018,04,28,20,30,621.6,621.6,621.6,621.6
2018,04,28,20,31,622.4,622.4,622.4,622.4
2018,04,28,20,32,625.8,625.8,625.8,625.8
2018,04,28,20,33,625.5,625.5,625.5,625.5
2018,04,28,20,34,627.9,627.9,627.9,627.9
2018,04,28,20,35,628.5,628.5,628.5,628.5
2018,04,28,20,36,622.6,622.6,622.6,622.6
2018,04,28,20,37,620.8,620.8,620.8,620.8
2018,04,28,20,38,627.5,627.5,627.5,627.5
2018,04,28,20,39,627.2,627.2,627.2,627.2
2018,04,28,20,40,626.1,626.1,626.1,626.1
2018,04,28,20,41,628.8,628.8,628.8,628.8
2018,04,28,20,42,627.9,627.9,627.9,627.9
2018,04,28,20,43,629.3,629.3,629.3,629.3
2018,04,28,20,44,628.6,628.6,628.6,628.6
2018,04,28,20,45,631.2,631.2,631.2,631.2
2018,04,28,20,46,633.8,633.8,633.8,633.8
2018,04,28,20,47,629.9,629.9,629.9,629.9
2018,04,28,20,48,629.7,629.7,629.7,629.7
2018,04,28,20,49,628.4,628.4,628.4,628.4
2018,04,28,20,50,628.2,628.2,628.2,628.2
2018,04,28,20,51,629.6,629.6,629.6,629.6
2018,04,28,20,52,630.2,630.2,630.2,630.2
2018,04,28,20,53,632.4,632.4,632.4,632.4
2018,04,28,20,54,630.0,630.0,630.0,630.0
2018,04,28,20,55,630.7,630.7,630.7,630.7
2018,04,28,20,56,631.6,631.6,631.6,631.6
2018,04,28,20,57,632.9,632.9,632.9,632.9
2018,04,28,20,58,633.0,633.0,633.0,633.0
2018,04,28,20,59,633.4,633.4,633.4,633.4
2018,04,28,21,00,632.2,632.2,632.2,632.2
2018,04,28,21,01,632.3,632.3,632.3,632.3
2018,04,28,21,02,631.9,631.9,631.9,631.9
2018,04,28,21,03,631.8,631.8,631.8,631.8
2018,04,28,21,04,631.1,631.1,631.1,631.1
2018,04,28,21,05,631.2,631.2,631.2,631.2
2018,04,28,21,06,631.1,631.1,631.1,631.1
2018,04,28,21,07,629.4,629.4,629.4,629.4
2018,04,28,21,08,630.8,630.8,630.8,630.8
2018,04,28,21,09,632.6,632.6,632.6,632.6
2018,04,28,21,10,630.0,630.0,630.0,630.0
2018,04,28,21,11,629.6,629.6,629.6,629.6
2018,04,28,21,12,629.5,629.5,629.5,629.5
2018,04,28,21,13,631.2,631.2,631.2,631.2
2018,04,28,21,14,630.4,630.4,630.4,630.4
2018,04,28,21,15,630.5,630.5,630.5,630.5
2018,04,28,21,16,630.7,630.7,630.7,630.7
2018,04,28,21,17,629.3,629.3,629.3,629.3
2018,04,28,21,18,630.8,630.8,630.8,630.8
2018,04,28,21,19,632.0,632.0,632.0,632.0
2018,04,28,21,20,631.8,631.8,631.8,631.8
2018,04,28,21,21,632.4,632.4,632.4,632.4
2018,04,28,21,22,631.7,631.7,631.7,631.7
2018,04,28,21,23,630.7,630.7,630.7,630.7
2018,04,28,21,24,632.6,632.6,632.6,632.6
2018,04,28,21,25,632.4,632.4,632.4,632.4
2018,04,28,21,26,631.4,631.4,631.4,631.4
2018,04,28,21,27,630.5,630.5,630.5,630.5
2018,04,28,21,28,629.8,629.8,629.8,629.8
2018,04,28,21,29,632.0,632.0,632.0,632.0
2018,04,28,21,30,629.5,629.5,629.5,629.5
2018,04,28,21,31,629.9,629.9,629.9,629.9
2018,04,28,21,32,630.6,630.6,630.6,630.6
2018,04,28,21,33,628.1,628.1,628.1,628.1
2018,04,28,21,34,628.9,628.9,628.9,628.9
2018,04,28,21,35,629.8,629.8,629.8,629.8
2018,04,28,21,36,629.6,629.6,629.6,629.6
2018,04,28,21,37,630.0,630.0,630.0,630.0
2018,04,28,21,38,628.9,628.9,628.9,628.9
2018,04,28,21,39,632.0,632.0,632.0,632.0
2018,04,28,21,40,630.6,630.6,630.6,630.6
2018,04,28,21,41,629.3,629.3,629.3,629.3
2018,04,28,21,42,631.3,631.3,631.3,631.3
2018,04,28,21,43,632.9,632.9,632.9,632.9
2018,04,28,21,44,631.9,631.9,631.9,631.9
2018,04,28,21,45,631.0,631.0,631.0,631.0
2018,04,28,21,46,631.8,631.8,631.8,631.8
2018,04,28,21,47,631.1,631.1,631.1,631.1
2018,04,28,21,48,630.8,630.8,630.8,630.8
2018,04,28,21,49,632.5,632.5,632.5,632.5
2018,04,28,21,50,631.5,631.5,631.5,631.5
2018,04,28,21,51,631.6,631.6,631.6,631.6
2018,04,28,21,52,629.2,629.2,629.2,629.2
2018,04,28,21,53,630.3,630.3,630.3,630.3
2018,04,28,21,54,630.9,630.9,630.9,630.9
2018,04,28,21,55,632.7,632.7,632.7,632.7
2018,04,28,21,56,631.9,631.9,631.9,631.9
2018,04,28,21,57,632.0,632.0,632.0,632.0
2018,04,28,21,58,632.9,632.9,632.9,632.9
2018,04,28,21,59,633.6,633.6,633.6,633.6
2018,04,28,22,00,633.4,633.4,633.4,633.4
2018,04,28,22,01,633.2,633.2,633.2,633.2
2018,04,28,22,02,633.6,633.6,633.6,633.6
2018,04,28,22,03,633.6,633.6,633.6,633.6
2018,04,28,22,04,633.4,633.4,633.4,633.4
2018,04,28,22,05,632.7,632.7,632.7,632.7
2018,04,28,22,06,634.0,634.0,634.0,634.0
2018,04,28,22,07,634.5,634.5,634.5,634.5
2018,04,28,22,08,633.2,633.2,633.2,633.2
2018,04,28,22,09,634.7,634.7,634.7,634.7
2018,04,28,22,10,633.9,633.9,633.9,633.9
2018,04,28,22,11,634.2,634.2,634.2,634.2
2018,04,28,22,12,635.6,635.6,635.6,635.6
2018,04,28,22,13,635.1,635.1,635.1,635.1
2018,04,28,22,14,635.6,635.6,635.6,635.6
2018,04,28,22,15,635.1,635.1,635.1,635.1
2018,04,28,22,16,636.4,636.4,636.4,636.4
2018,04,28,22,17,636.1,636.1,636.1,636.1
2018,04,28,22,18,632.1,632.1,632.1,632.1
2018,04,28,22,19,634.6,634.6,634.6,634.6
2018,04,28,22,20,633.7,633.7,633.7,633.7
2018,04,28,22,21,633.3,633.3,633.3,633.3
2018,04,28,22,22,633.9,633.9,633.9,633.9
2018,04,28,22,23,634.1,634.1,634.1,634.1
2018,04,28,22,24,634.7,634.7,634.7,634.7
2018,04,28,22,25,635.8,635.8,635.8,635.8
2018,04,28,22,26,635.9,635.9,635.9,635.9
2018,04,28,22,27,636.5,636.5,636.5,636.5
2018,04,28,22,28,636.2,636.2,636.2,636.2
2018,04,28,22,29,636.1,636.1,636.1,636.1
2018,04,28,22,30,636.4,636.4,636.4,636.4
2018,04,28,22,31,635.7,635.7,635.7,635.7
2018,04,28,22,32,636.5,636.5,636.5,636.5
2018,04,28,22,33,633.9,633.9,633.9,633.9
2018,04,28,22,34,637.2,637.2,637.2,637.2
2018,04,28,22,35,635.8,635.8,635.8,635.8
2018,04,28,22,36,635.8,635.8,635.8,635.8
2018,04,28,22,37,635.3,635.3,635.3,635.3
2018,04,28,22,38,634.5,634.5,634.5,634.5
2018,04,28,22,39,635.8,635.8,635.8,635.8
2018,04,28,22,40,635.2,635.2,635.2,635.2
2018,04,28,22,41,635.1,635.1,635.1,635.1
2018,04,28,22,42,636.6,636.6,636.6,636.6
2018,04,28,22,43,637.9,637.9,637.9,637.9
2018,04,28,22,44,636.7,636.7,636.7,636.7
2018,04,28,22,45,635.8,635.8,635.8,635.8
2018,04,28,22,46,635.9,635.9,635.9,635.9
2018,04,28,22,47,637.3,637.3,637.3,637.3
2018,04,28,22,48,636.4,636.4,636.4,636.4
2018,04,28,22,49,636.7,636.7,636.7,636.7
2018,04,28,22,50,636.5,636.5,636.5,636.5
2018,04,28,22,51,635.9,635.9,635.9,635.9
2018,04,28,22,52,638.1,638.1,638.1,638.1
2018,04,28,22,53,638.0,638.0,638.0,638.0
2018,04,28,22,54,635.4,635.4,635.4,635.4
2018,04,28,22,55,636.1,636.1,636.1,636.1
2018,04,28,22,56,636.1,636.1,636.1,636.1
2018,04,28,22,57,635.9,635.9,635.9,635.9
2018,04,28,22,58,636.3,636.3,636.3,636.3
2018,04,28,22,59,636.9,636.9,636.9,636.9
2018,04,28,23,00,636.4,636.4,636.4,636.4
2018,04,28,23,01,635.7,635.7,635.7,635.7
2018,04,28,23,02,638.2,638.2,638.2,638.2
2018,04,28,23,03,638.3,638.3,638.3,638.3
2018,04,28,23,04,639.0,639.0,639.0,639.0
2018,04,28,23,05,637.0,637.0,637.0,637.0
2018,04,28,23,06,632.3,632.3,632.3,632.3
2018,04,28,23,07,637.4,637.4,637.4,637.4
2018,04,28,23,08,636.7,636.7,636.7,636.7
2018,04,28,23,09,638.1,638.1,638.1,638.1
2018,04,28,23,10,636.1,636.1,636.1,636.1
2018,04,28,23,11,636.8,636.8,636.8,636.8
2018,04,28,23,12,637.0,637.0,637.0,637.0
2018,04,28,23,13,632.1,632.1,632.1,632.1
2018,04,28,23,14,633.4,633.4,633.4,633.4
2018,04,28,23,15,635.9,635.9,635.9,635.9
2018,04,28,23,16,635.6,635.6,635.6,635.6
2018,04,28,23,17,636.3,636.3,636.3,636.3
2018,04,28,23,18,637.0,637.0,637.0,637.0
2018,04,28,23,19,636.1,636.1,636.1,636.1
2018,04,28,23,20,635.2,635.2,635.2,635.2
2018,04,28,23,21,637.3,637.3,637.3,637.3
2018,04,28,23,22,637.8,637.8,637.8,637.8
2018,04,28,23,23,639.1,639.1,639.1,639.1
2018,04,28,23,24,639.8,639.8,639.8,639.8
2018,04,28,23,25,640.3,640.3,640.3,640.3
2018,04,28,23,26,638.8,638.8,638.8,638.8
2018,04,28,23,27,639.0,639.0,639.0,639.0
2018,04,28,23,28,638.1,638.1,638.1,638.1
2018,04,28,23,29,639.0,639.0,639.0,639.0
2018,04,28,23,30,638.4,638.4,638.4,638.4
2018,04,28,23,31,637.0,637.0,637.0,637.0
2018,04,28,23,32,637.4,637.4,637.4,637.4
2018,04,28,23,33,637.1,637.1,637.1,637.1
2018,04,28,23,34,636.9,636.9,636.9,636.9
2018,04,28,23,35,639.0,639.0,639.0,639.0
2018,04,28,23,36,638.9,638.9,638.9,638.9
2018,04,28,23,37,638.8,638.8,638.8,638.8
2018,04,28,23,38,638.4,638.4,638.4,638.4
2018,04,28,23,39,637.9,637.9,637.9,637.9
2018,04,28,23,40,638.7,638.7,638.7,638.7
2018,04,28,23,41,638.5,638.5,638.5,638.5
2018,04,28,23,42,638.5,638.5,638.5,638.5
2018,04,28,23,43,637.5,637.5,637.5,637.5
2018,04,28,23,44,637.3,637.3,637.3,637.3
2018,04,28,23,45,636.7,636.7,636.7,636.7
2018,04,28,23,46,637.5,637.5,637.5,637.5
2018,04,28,23,47,636.1,636.1,636.1,636.1
2018,04,28,23,48,638.8,638.8,638.8,638.8
2018,04,28,23,49,638.5,638.5,638.5,638.5
2018,04,28,23,50,637.5,637.5,637.5,637.5
2018,04,28,23,51,637.0,637.0,637.0,637.0
2018,04,28,23,52,637.4,637.4,637.4,637.4
2018,04,28,23,53,638.5,638.5,638.5,638.5
2018,04,28,23,54,638.5,638.5,638.5,638.5
2018,04,28,23,55,637.4,637.4,637.4,637.4
2018,04,28,23,56,637.6,637.6,637.6,637.6
2018,04,28,23,57,637.7,637.7,637.7,637.7
2018,04,28,23,58,638.0,638.0,638.0,638.0
2018,04,28,23,59,638.4,638.4,638.4,638.4
2018,04,29,00,00,637.9,637.9,637.9,637.9
2018,04,29,00,01,637.6,637.6,637.6,637.6
2018,04,29,00,02,637.8,637.8,637.8,637.8
2018,04,29,00,03,637.9,637.9,637.9,637.9
2018,04,29,00,04,637.2,637.2,637.2,637.2
2018,04,29,00,05,637.9,637.9,637.9,637.9
2018,04,29,00,06,638.6,638.6,638.6,638.6
2018,04,29,00,07,638.3,638.3,638.3,638.3
2018,04,29,00,08,638.1,638.1,638.1,638.1
2018,04,29,00,09,637.8,637.8,637.8,637.8
2018,04,29,00,10,639.2,639.2,639.2,639.2
2018,04,29,00,11,640.0,640.0,640.0,640.0
2018,04,29,00,12,638.8,638.8,638.8,638.8
2018,04,29,00,13,638.7,638.7,638.7,638.7
2018,04,29,00,14,638.2,638.2,638.2,638.2
2018,04,29,00,15,638.3,638.3,638.3,638.3
2018,04,29,00,16,638.8,638.8,638.8,638.8
2018,04,29,00,17,638.5,638.5,638.5,638.5
